Research product type,subclass of,Properties,description,expected Type,range Restriction,cardinality,stable,ATLAS,subproperty Of,RO-Crate,KNOT,OpenAIRE Graph,OpenAIRE Application Profile,SKG IF,IRIS
https://w3id.org/dh-atlas/TextCollection,https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Genre(s) of the collected texts,The genre(s) of the collected texts.,URI,CWRC Genre Ontology,0-n,FALSE,https://schema.org/genre,,,,,,,
https://w3id.org/dh-atlas/Ontology,https://schema.org/Dataset; http://purl.org/spar/fabio/OntologyDocument,Namespace (M),The namespace used by the terms of the ontology.,URL,,1,TRUE,http://purl.org/vocab/vann/preferredNamespaceUri,,,,,,,
https://w3id.org/dh-atlas/Ontology,https://schema.org/Dataset; http://purl.org/spar/fabio/OntologyDocument,Imported or Referenced Models,Ontologies or vocabularies imported or partially reused by the catalogued ontology.,URI,LOV,0-n,TRUE,http://purl.org/dc/terms/references,,,,,,,
https://w3id.org/dh-atlas/Software,https://schema.org/Dataset; https://schema.org/SoftwareApplication,Input Format,"The file format(s) of data the software can process as input, if applicable.",URI,EU Vocabularies - File Type,0-n,TRUE,http://ontosoft.org/software#hasInput,,,,,,,
https://w3id.org/dh-atlas/Software,https://schema.org/Dataset; https://schema.org/SoftwareApplication,Output Format,"The file format(s) of data the software can generate as output, if applicable.",URI,EU Vocabularies - File Type,0-n,TRUE,http://ontosoft.org/software#hasOutput,,,,,,,
https://w3id.org/dh-atlas/Software,https://schema.org/Dataset; https://schema.org/SoftwareApplication,Code Repository URL (M),"The URL of the source code’s repository (e.g., GitHub, Zenodo, FigShare).",URL,,0-1,TRUE,http://ontosoft.org/software#hasCodeLocation,,,,,,,
https://w3id.org/dh-atlas/Software,https://schema.org/Dataset; https://schema.org/SoftwareApplication,Programming language (M),The programming language(s) employed in the software’s development.,URI,,1-n,TRUE,http://ontosoft.org/software#hasImplementationLanguage,,,,,,,
https://w3id.org/dh-atlas/Software,https://schema.org/Dataset; https://schema.org/SoftwareApplication,Based on,Software component(s) used or extended in the catalogued software.,URI,https://w3id.org/dh-atlas/Software; URL,0-n,TRUE,https://schema.org/isBasedOn,,,,,,,
https://w3id.org/dh-atlas/LanguageModel,https://schema.org/Dataset; https://schema.org/SoftwareApplication,Task (M),URI(s) of the task(s) that can be carried out by employing the language model.,URI,Huggin Face Tasks,1-n,,https://schema.org/applicationCategory,,,,,,,
https://w3id.org/dh-atlas/LanguageModel,https://schema.org/Dataset; https://schema.org/SoftwareApplication,Used Libraries,"URIs of the machine learning libraries utilised for the development, training, evaluation, or deployment of the model.",URI,schema:SoftwareApplication,0-n,,https://schema.org/isBasedOn,,,,,,,
https://w3id.org/dh-atlas/3DDigitalTwin,https://schema.org/Dataset; http://purl.org/spar/fabio/DataFile,Has 3D Model,One or multiple files providing a 3D representation of the Cultural Heritage Object,URI,schema:3DModel,1-n,,https://schema.org/associatedMedia,,,,,,,
https://w3id.org/dh-atlas/3DDigitalTwin,https://schema.org/Dataset; http://purl.org/spar/fabio/DataFile,Reproduces Creative Work (M),The Cultural Heritage Object represented by the 3D Digital Twin,URI,schema:CreativeWork,1-n,,https://schema.org/exampleOfWork,,,,,,,
